% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4532117248e+00, 1.4261279761e-02, 1.3647644101e-04, 5.5137814330e-03
-1.4530165056e+00, 1.4263278003e-02, -4.9780772216e-06, 5.5137814330e-03
-1.4528212864e+00, 1.4259912542e-02, 7.8176846507e-06, 5.5137814330e-03
-1.4526260672e+00, 1.4260894135e-02, 1.5638874990e-04, 5.5137814330e-03
-1.4524308480e+00, 1.4268571592e-02, 2.4417118203e-04, 5.5137814330e-03
-1.4522356288e+00, 1.4261419988e-02, 1.5747551323e-04, 5.5137814330e-03
-1.4520404096e+00, 1.4262156183e-02, 8.3084809965e-06, 5.5137814330e-03
-1.4518451904e+00, 1.4260894135e-02, -6.0998974405e-06, 5.5137814330e-03
-1.4516499712e+00, 1.4260157941e-02, 1.3507416574e-04, 5.5137814330e-03
-1.4514547520e+00, 1.4264014198e-02, 2.4396084074e-04, 5.5137814330e-03
-1.4512595328e+00, 1.4260753908e-02, 1.7840447169e-04, 5.5137814330e-03
-1.4510643136e+00, 1.4262997548e-02, 2.6327718263e-05, 5.5137814330e-03
-1.4508690944e+00, 1.4264084311e-02, -1.4723890374e-05, 5.5137814330e-03
-1.4506738752e+00, 1.4267660113e-02, 1.1361935405e-04, 5.5137814330e-03
-1.4504786560e+00, 1.4267765284e-02, 2.4122640395e-04, 5.5137814330e-03
-1.4502834368e+00, 1.4272638191e-02, 1.9589785573e-04, 5.5137814330e-03
-1.4500882176e+00, 1.4267064146e-02, 4.5609003276e-05, 5.5137814330e-03
-1.4498929984e+00, 1.4264504994e-02, -2.3698452125e-05, 5.5137814330e-03
-1.4496977792e+00, 1.4266012440e-02, 8.9955958806e-05, 5.5137814330e-03
-1.4495025600e+00, 1.4269518128e-02, 2.2699330993e-04, 5.5137814330e-03
-1.4493073408e+00, 1.4273900238e-02, 2.0841316255e-04, 5.5137814330e-03
-1.4491121216e+00, 1.4273654840e-02, 6.1454713869e-05, 5.5137814330e-03
-1.4489169024e+00, 1.4264610165e-02, -2.6783457727e-05, 5.5137814330e-03
-1.4487216832e+00, 1.4267519886e-02, 6.4224207534e-05, 5.5137814330e-03
-1.4485264640e+00, 1.4265661871e-02, 2.0900912954e-04, 5.5137814330e-03
-1.4483312448e+00, 1.4266608407e-02, 2.1693198484e-04, 5.5137814330e-03
-1.4481360256e+00, 1.4263593515e-02, 8.1577364046e-05, 5.5137814330e-03
-1.4479408064e+00, 1.4260157941e-02, -2.6327718263e-05, 5.5137814330e-03
-1.4477455872e+00, 1.4262927434e-02, 4.4276841766e-05, 5.5137814330e-03
-1.4475503680e+00, 1.4266152667e-02, 1.9502143369e-04, 5.5137814330e-03
-1.4473551488e+00, 1.4268010682e-02, 2.2573126218e-04, 5.5137814330e-03
-1.4471599296e+00, 1.4264084311e-02, 1.0359308584e-04, 5.5137814330e-03
